Year,Day_cab,Sleeper,Bus
2005,350,350,150
2006,350,350,150
2007,350,350,150
2008,350,350,150
2009,350,350,150
2010,350,350,150
2011,350,350,150
2012,350,350,150
2013,350,350,150
2014,350,350,150
2015,350,350,150
2016,350,350,150
2017,350,350,150
2018,350,350,150
2019,350,350,150
2020,350,350,150
2021,393.3333333,393.3333333,163.3333333
2022,436.6666667,436.6666667,176.6666667
2023,480,480,190
2024,523.3333333,523.3333333,203.3333333
2025,566.6666667,566.6666667,216.6666667
2026,610,610,230
2027,653.3333333,653.3333333,243.3333333
2028,696.6666667,696.6666667,256.6666667
2029,740,740,270
2030,783.3333333,783.3333333,283.3333333
2031,826.6666667,826.6666667,296.6666667
2032,870,870,310
2033,913.3333333,913.3333333,323.3333333
2034,956.6666667,956.6666667,336.6666667
2035,1000,1000,350
