Year,Day_cab,Sleeper,Bus
2005,1,1,1
2006,1,1,1
2007,1,1,1
2008,1,1,1
2009,1,1,1
2010,1,1,1
2011,1,1,1
2012,1,1,1
2013,1,1,1
2014,1,1,1
2015,1,1,1
2016,1,1,1
2017,1,1,1
2018,1,1,1
2019,1,1,1
2020,0.5,0.5,1
2021,0.473333333,0.473333333,0.966666667
2022,0.446666667,0.446666667,0.933333333
2023,0.42,0.42,0.9
2024,0.393333333,0.393333333,0.866666667
2025,0.366666667,0.366666667,0.833333333
2026,0.34,0.34,0.8
2027,0.313333333,0.313333333,0.766666667
2028,0.286666667,0.286666667,0.733333333
2029,0.26,0.26,0.7
2030,0.233333333,0.233333333,0.666666667
2031,0.206666667,0.206666667,0.633333333
2032,0.18,0.18,0.6
2033,0.153333333,0.153333333,0.566666667
2034,0.126666667,0.126666667,0.533333333
2035,0.1,0.1,0.5
