Year,diesel,electricity
2005,2.934405,4.390709413
2006,2.934405,4.390709413
2007,2.934405,4.390709413
2008,2.934405,4.390709413
2009,2.934405,4.390709413
2010,2.934405,4.390709413
2011,2.934405,4.390709413
2012,2.934405,4.390709413
2013,2.934405,4.390709413
2014,2.934405,4.390709413
2015,2.934405,4.390709413
2016,2.934405,4.390709413
2017,2.934405,4.390709413
2018,2.934405,4.390709413
2019,2.934405,4.390709413
2020,2.934405,4.390709413
2021,2.934405,4.390709413
2022,2.934405,4.390709413
2023,2.934405,4.390709413
2024,2.934405,4.390709413
2025,2.934405,4.390709413
2026,2.934405,4.390709413
2027,2.934405,4.390709413
2028,2.934405,4.390709413
2029,2.934405,4.390709413
2030,2.934405,4.390709413
2031,2.934405,4.390709413
2032,2.934405,4.390709413
2033,2.934405,4.390709413
2034,2.934405,4.390709413
2035,2.934405,4.390709413
