Year,Day_cab,Sleeper,Bus
2005,1000000,1000000,1000000
2006,1000000,1000000,1000000
2007,1000000,1000000,1000000
2008,1000000,1000000,1000000
2009,1000000,1000000,1000000
2010,1000000,1000000,1000000
2011,1000000,1000000,1000000
2012,1000000,1000000,1000000
2013,1000000,1000000,1000000
2014,1000000,1000000,1000000
2015,1000000,1000000,394824.4965
2016,1000000,1000000,380818.3385
2017,1000000,1000000,366812.1804
2018,1000000,1000000,352806.0223
2019,1000000,1000000,338799.8643
2020,536184.8906,949388.7976,324793.7062
2021,513588.5996,907922.3328,310787.5482
2022,490992.3086,866455.868,296781.3901
2023,468396.0176,824989.4032,282775.232
2024,445799.7266,783522.9384,268769.074
2025,423203.4356,742056.4736,254762.9159
2026,400607.1446,700590.0088,240756.7579
2027,378010.8535,659123.544,226750.5998
2028,355414.5625,617657.0792,212744.4417
2029,332818.2715,576190.6144,198738.2837
2030,310221.9805,534724.1496,184732.1256
2031,291864.8347,496196.4723,178751.3074
2032,273507.6888,457668.7949,172770.4891
2033,255150.543,419141.1176,166789.6709
2034,236793.3972,380613.4402,160808.8526
2035,218436.2513,342085.7628,154828.0343
