Year,Day_cab,Sleeper,Bus
2005,400,800,100
2006,400,800,100
2007,400,800,100
2008,400,800,100
2009,400,800,100
2010,400,800,100
2011,400,800,100
2012,400,800,100
2013,400,800,100
2014,400,800,100
2015,400,800,100
2016,400,800,100
2017,400,800,100
2018,400,800,100
2019,400,800,100
2020,400,800,100
2021,400,800,100
2022,400,800,100
2023,400,800,100
2024,400,800,100
2025,400,800,100
2026,400,800,100
2027,400,800,100
2028,400,800,100
2029,400,800,100
2030,400,800,100
2031,400,800,100
2032,400,800,100
2033,400,800,100
2034,400,800,100
2035,400,800,100
