Year,Day_cab,Sleeper,Bus
2005,2.399688578,8.345092933,0.765521723
2006,2.399688578,8.345092933,0.765521723
2007,2.399688578,8.345092933,0.765521723
2008,2.399688578,8.345092933,0.765521723
2009,2.399688578,8.345092933,0.765521723
2010,2.399688578,8.345092933,0.765521723
2011,2.399688578,8.345092933,0.765521723
2012,2.399688578,8.345092933,0.765521723
2013,2.399688578,8.345092933,0.765521723
2014,2.399688578,8.345092933,0.765521723
2015,2.399688578,8.345092933,0.765521723
2016,2.399688578,8.345092933,0.765521723
2017,2.399688578,8.345092933,0.765521723
2018,2.399688578,8.345092933,0.765521723
2019,2.399688578,8.345092933,0.765521723
2020,2.399688578,8.345092933,0.765521723
2021,2.1403737092,7.4433064684,0.6827980034
2022,1.8810588404,6.5415200038000005,0.6000742837999999
2023,1.6217439716,5.639733539200001,0.5173505641999999
2024,1.3624291028,4.737947074600001,0.4346268445999999
2025,1.103114234,3.836160610000001,0.3519031249999999
2026,1.048330692,3.645646827200001,0.3344266941999999
2027,0.9935471499999999,3.455133044400001,0.3169502633999999
2028,0.9387636079999999,3.264619261600001,0.2994738325999999
2029,0.8839800659999999,3.074105478800001,0.2819974017999999
2030,0.8291965239999999,2.8835916960000008,0.2645209709999999
2031,0.8070128571999999,2.806446368000001,0.2574441863999999
2032,0.7848291904,2.729301040000001,0.2503674017999999
2033,0.7626455236,2.652155712000001,0.2432906171999999
2034,0.7404618568000001,2.5750103840000014,0.2362138325999999
2035,0.7182781900000001,2.4978650560000015,0.2291370479999999
