Year,Day_cab,Sleeper,Bus
2005,1000000.0,1000000.0,1000000.0
2006,1000000.0,1000000.0,1000000.0
2007,1000000.0,1000000.0,1000000.0
2008,1000000.0,1000000.0,1000000.0
2009,1000000.0,1000000.0,1000000.0
2010,1000000.0,1000000.0,1000000.0
2011,1000000.0,1000000.0,1000000.0
2012,1000000.0,1000000.0,1000000.0
2013,1000000.0,1000000.0,1000000.0
2014,1000000.0,1000000.0,1000000.0
2015,1000000.0,1000000.0,1000000.0
2016,1000000.0,1000000.0,1000000.0
2017,1000000.0,1000000.0,1000000.0
2018,1000000.0,1000000.0,1000000.0
2019,1000000.0,1000000.0,1000000.0
2020,536184.8906041996,949388.7976426383,324793.70622225
2021,500966.5497598115,883272.4536746971,302638.7178097255
2022,465748.20891542337,817156.1097067558,280483.729397201
2023,430529.86807103525,751039.7657388146,258328.74098467643
2024,395311.52722664713,684923.4217708734,236173.7525721519
2025,360093.186382259,618807.0778029321,214018.76415962735
2026,324874.8455378709,552690.7338349909,191863.7757471028
2027,289656.50469348277,486574.3898670496,169708.78733457826
2028,254438.16384909462,420458.0458991083,147553.7989220537
2029,219219.82300470647,354341.701931167,125398.81050952918
2030,184001.48216031832,288225.3579632257,103243.82209700465
2031,178939.96371668266,274761.41119254765,100583.78917016166
2032,173878.445273047,261297.4644218696,97923.75624331867
2033,168816.92682941133,247833.51765119156,95263.72331647568
2034,163755.40838577566,234369.57088051352,92603.69038963268
2035,158693.88994214,220905.62410983548,89943.65746278969
