Year,Day_cab,Sleeper,Bus
2005,122338.01592068397,143547.94883626094,120303.42625468114
2006,122338.01592068397,143547.94883626094,120303.42625468114
2007,122338.01592068397,143547.94883626094,120303.42625468114
2008,122338.01592068397,143547.94883626094,120303.42625468114
2009,122338.01592068397,143547.94883626094,120303.42625468114
2010,122338.01592068397,143547.94883626094,120303.42625468114
2011,122338.01592068397,143547.94883626094,120303.42625468114
2012,122338.01592068397,143547.94883626094,120303.42625468114
2013,122338.01592068397,143547.94883626094,120303.42625468114
2014,122338.01592068397,143547.94883626094,120303.42625468114
2015,122338.01592068397,143547.94883626094,120303.42625468114
2016,122338.01592068397,143547.94883626094,120303.42625468114
2017,122338.01592068397,143547.94883626094,120303.42625468114
2018,122338.01592068397,143547.94883626094,120303.42625468114
2019,122338.01592068397,143547.94883626094,120303.42625468114
2020,122338.01592068397,143547.94883626094,120303.42625468114
2021,122769.26654299341,144137.89155296996,120765.47793787053
2022,123200.51716530285,144727.83426967898,121227.52962105992
2023,123631.76778761229,145317.776986388,121689.58130424931
2024,124063.01840992173,145907.719703097,122151.6329874387
2025,124494.26903223117,146497.66241980603,122613.68467062809
2026,124925.5196545406,147087.60513651505,123075.73635381748
2027,125356.77027685005,147677.54785322407,123537.78803700687
2028,125788.02089915948,148267.49056993308,123999.83972019627
2029,126219.27152146892,148857.4332866421,124461.89140338566
2030,126650.52214377836,149447.37600335112,124923.94308657505
2031,127081.7727660878,150037.31872006014,125385.99476976444
2032,127513.02338839724,150627.26143676916,125848.04645295383
2033,127944.27401070668,151217.20415347817,126310.09813614322
2034,128375.52463301612,151807.1468701872,126772.14981933261
2035,128806.77525532556,152397.0895868962,127234.201502522
