Segment,Year,BEV_sales,DV_sales,BEV_stock,DV_stock,BEV_VMT,DV_VMT,diesel,electricity,BEV_incentive,infrastructure_incentive,carbon_emissions
Day_cab,2020,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,8456774282.58,0.0,0.0,0.0,85920826711.0128
Day_cab,2021,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,8443215250.551954,0.0,0.0,0.0,85783066945.60785
Day_cab,2022,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,8416097186.495863,0.0,0.0,0.0,85507547414.79797
Day_cab,2023,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,8375420090.403086,0.0,0.0,0.0,85094268118.49535
Day_cab,2024,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,8321183962.282263,0.0,0.0,0.0,84543229056.7878
Day_cab,2025,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,8253388802.1244135,0.0,0.0,0.0,83854430229.58405
Day_cab,2026,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,8172034609.934116,0.0,0.0,0.0,83027871636.93062
Day_cab,2027,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,8077121385.712299,0.0,0.0,0.0,82063553278.83696
Day_cab,2028,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,7968649129.458858,0.0,0.0,0.0,80961475155.30199
Day_cab,2029,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,7846617841.179197,0.0,0.0,0.0,79721637266.38065
Day_cab,2030,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,7711027520.865735,0.0,0.0,0.0,78344039611.99586
Day_cab,2031,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,7575437200.548567,0.0,0.0,0.0,76966441957.57344
Day_cab,2032,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,7439846880.236031,0.0,0.0,0.0,75588844303.19807
Day_cab,2033,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,7304256559.92147,0.0,0.0,0.0,74211246648.80214
Day_cab,2034,0.0,90600.0,0.0,906000.0,0.0,51939937601.64169,7168666239.612912,0.0,0.0,0.0,72833648994.4672
Day_cab,2035,30.0,90570.0,30.0,905970.0,1719865.4835,51938217736.158195,7032863239.849519,4370004.5432623625,0.0,0.0,71454801662.81837
Sleeper,2020,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8765655012.437325,0.0,0.0,0.0,89059054926.36322
Sleeper,2021,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8753880733.147713,0.0,0.0,0.0,88939428248.78076
Sleeper,2022,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8730332174.566666,0.0,0.0,0.0,88700174893.59732
Sleeper,2023,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8695009336.698233,0.0,0.0,0.0,88341294860.85405
Sleeper,2024,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8647912219.535223,0.0,0.0,0.0,87862788150.47786
Sleeper,2025,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8589040823.081975,0.0,0.0,0.0,87264654762.51286
Sleeper,2026,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8518395147.339177,0.0,0.0,0.0,86546894696.96603
Sleeper,2027,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8435975192.3068285,0.0,0.0,0.0,85709507953.83737
Sleeper,2028,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8341780957.981621,0.0,0.0,0.0,84752494533.09326
Sleeper,2029,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8235812444.365341,0.0,0.0,0.0,83675854434.75186
Sleeper,2030,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8118069651.457086,0.0,0.0,0.0,82479587658.80399
Sleeper,2031,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,8000326858.550925,0.0,0.0,0.0,81283320882.8774
Sleeper,2032,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,7882584065.645701,0.0,0.0,0.0,80087054106.96033
Sleeper,2033,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,7764841272.740446,0.0,0.0,0.0,78890787331.04294
Sleeper,2034,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,7647098479.832407,0.0,0.0,0.0,77694520555.09726
Sleeper,2035,0.0,57600.0,0.0,576000.0,0.0,50258306309.76548,7529355686.924273,0.0,0.0,0.0,76498253779.1506
Bus,2020,200.0,5800.0,480.0,71520.0,18617338.449600022,2773983428.9904313,391880507.56294185,37610553.957077414,0.0,0.0,3997189557.8395905
Bus,2021,360.0,5640.0,840.0,71160.0,32580342.286800053,2760020425.153231,389419300.8424068,65441424.57815692,0.0,0.0,3982879534.8063083
Bus,2022,5700.0,300.0,6540.0,65460.0,253661236.375802,2538939531.0642285,358135228.9607734,500126999.3387173,507695914.03207856,2372437.5576067134,3833303354.3840866
Bus,2023,5830.0,170.0,12370.0,59630.0,479784326.29490465,2312816441.145126,326146643.98065835,938620423.8055178,495741262.8694227,3838702.020851412,3665914147.8976994
Bus,2024,5890.0,110.0,18260.0,53740.0,708234583.5202073,2084366183.9198234,293835365.0379754,1375457772.4623435,475910732.28800654,4725777.633996667,3482457747.7537208
Bus,2025,5940.0,60.0,24200.0,47800.0,938624146.83401,1853976620.6060207,261262250.12107787,1809782177.826069,454993006.37176895,5034529.675464817,3283323768.0247097
Bus,2026,5960.0,40.0,30160.0,41840.0,1169789432.5832126,1622811334.856818,228584747.37750277,2239326768.018095,431359056.273626,5920084.172442658,3069460443.1662645
Bus,2027,5990.0,10.0,36130.0,35870.0,1401342579.5501153,1391258187.8899152,195867180.42558634,2663192781.683371,340279157.30096495,5560603.771898854,2841433285.42813
Bus,2028,5990.0,10.0,42090.0,29910.0,1632507865.299318,1160092902.1407125,163203540.20201325,3080001634.8303833,255384861.92173654,4861027.099599049,2600012468.383585
Bus,2029,5990.0,10.0,48030.0,23970.0,1862897428.6131208,929703338.8269099,130648619.84262216,3488969774.251692,178912119.39018202,3888855.383381437,2345820254.705109
Bus,2030,5990.0,10.0,53950.0,18050.0,2092511269.4915235,700089497.9485072,98202419.34742126,3890097199.947297,110858608.69810806,2711494.8316586036,2079183602.1551476
Bus,2031,5990.0,10.0,59830.0,12170.0,2320573665.499126,472027101.94090456,65974524.98810295,4281816805.5023212,53629809.45667785,1452343.66547255,1801128992.212288
Bus,2032,5990.0,10.0,65620.0,6380.0,2545145310.5474286,247455456.89260194,34238902.44388509,4660210824.879303,0.0,0.0,1513851997.2146726
Bus,2033,5990.0,10.0,71250.0,750.0,2763511176.112531,29089591.327500045,3867757.4958093883,5020171430.473446,0.0,0.0,1225562925.1782973
Bus,2034,5990.0,10.0,71540.0,460.0,2774759151.4258313,17841616.01420002,2318611.3013163926,4967003724.617138,0.0,0.0,1128218719.1762247
Bus,2035,5990.0,10.0,71700.0,300.0,2780964930.9090314,11635836.531000007,1473111.797805307,4903754561.743725,0.0,0.0,1037399641.9892671
