Segment,Year,BEV_sales,DV_sales,BEV_stock,DV_stock,BEV_VMT,DV_VMT,diesel,electricity,BEV_incentive,infrastructure_incentive,carbon_emissions
Day_cab,2020,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8456774282.044035,0.0,0.0,0.0,85920826705.5674
Day_cab,2021,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8443215250.015989,0.0,0.0,0.0,85783066940.16245
Day_cab,2022,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8416097185.951258,0.0,0.0,0.0,85507547409.26479
Day_cab,2023,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8375420089.85848,0.0,0.0,0.0,85094268112.96216
Day_cab,2024,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8321183961.737658,0.0,0.0,0.0,84543229051.25461
Day_cab,2025,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8253388801.588444,0.0,0.0,0.0,83854430224.1386
Day_cab,2026,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8172034609.399337,0.0,0.0,0.0,83027871631.49727
Day_cab,2027,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8077121385.189634,0.0,0.0,0.0,82063553273.52669
Day_cab,2028,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,7968649128.949172,0.0,0.0,0.0,80961475150.1236
Day_cab,2029,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,7846617840.670693,0.0,0.0,0.0,79721637261.21425
Day_cab,2030,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,7711027520.363891,0.0,0.0,0.0,78344039606.89713
Day_cab,2031,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,7575437200.062685,0.0,0.0,0.0,76966441952.63689
Day_cab,2032,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,7439846879.760147,0.0,0.0,0.0,75588844298.3631
Day_cab,2033,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,7304256559.45329,0.0,0.0,0.0,74211246644.04543
Day_cab,2034,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,7168666239.149971,0.0,0.0,0.0,72833648989.7637
Day_cab,2035,30.0,90570.0,30.0,905970.0,1719865.4833888235,51938217732.74576,7032863239.392459,4370004.542979875,0.0,0.0,71454801658.17459
Sleeper,2020,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8765655012.554077,0.0,0.0,0.0,89059054927.54942
Sleeper,2021,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8753880733.264467,0.0,0.0,0.0,88939428249.967
Sleeper,2022,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8730332174.68342,0.0,0.0,0.0,88700174894.78355
Sleeper,2023,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8695009336.814985,0.0,0.0,0.0,88341294862.04025
Sleeper,2024,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8647912219.651976,0.0,0.0,0.0,87862788151.66408
Sleeper,2025,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8589040823.198729,0.0,0.0,0.0,87264654763.69908
Sleeper,2026,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8518395147.45346,0.0,0.0,0.0,86546894698.12715
Sleeper,2027,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8435975192.418364,0.0,0.0,0.0,85709507954.97058
Sleeper,2028,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8341780958.086152,0.0,0.0,0.0,84752494534.1553
Sleeper,2029,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8235812444.469872,0.0,0.0,0.0,83675854435.8139
