Year,Day_cab,Sleeper,Bus
2005,350.0,350.0,150.0
2006,350.0,350.0,150.0
2007,350.0,350.0,150.0
2008,350.0,350.0,150.0
2009,350.0,350.0,150.0
2010,350.0,350.0,150.0
2011,350.0,350.0,150.0
2012,350.0,350.0,150.0
2013,350.0,350.0,150.0
2014,350.0,350.0,150.0
2015,350.0,350.0,150.0
2016,350.0,350.0,150.0
2017,350.0,350.0,150.0
2018,350.0,350.0,150.0
2019,350.0,350.0,150.0
2020,350.0,350.0,150.0
2021,393.3333333333333,393.3333333333333,163.33333333333334
2022,436.66666666666663,436.66666666666663,176.66666666666669
2023,479.99999999999994,479.99999999999994,190.00000000000003
2024,523.3333333333333,523.3333333333333,203.33333333333337
2025,566.6666666666666,566.6666666666666,216.6666666666667
2026,610.0,610.0,230.00000000000006
2027,653.3333333333334,653.3333333333334,243.3333333333334
2028,696.6666666666667,696.6666666666667,256.66666666666674
2029,740.0000000000001,740.0000000000001,270.00000000000006
2030,783.3333333333335,783.3333333333335,283.33333333333337
2031,826.6666666666669,826.6666666666669,296.6666666666667
2032,870.0000000000002,870.0000000000002,310.0
2033,913.3333333333336,913.3333333333336,323.3333333333333
2034,956.666666666667,956.666666666667,336.66666666666663
2035,1000.0000000000003,1000.0000000000003,349.99999999999994
