Year,Day_cab,Sleeper,Bus
2005,0.0,0.0,0.0
2006,0.0,0.0,0.0
2007,0.0,0.0,0.0
2008,0.0,0.0,0.0
2009,0.0,0.0,0.0
2010,0.0,0.0,0.0
2011,0.0,0.0,0.0
2012,0.0,0.0,0.0
2013,0.0,0.0,0.0
2014,0.0,0.0,0.0
2015,0.0,0.0,0.0
2016,0.0,0.0,0.0
2017,0.0,0.0,0.0
2018,0.0,0.0,0.0
2019,0.0,0.0,0.0
2020,0.0,0.0,0.0
2021,0.3,0.3,0.3
2022,0.3,0.3,0.3
2023,0.3,0.3,0.3
2024,0.3,0.3,0.3
2025,0.3,0.3,0.3
2026,0.25,0.25,0.25
2027,0.2,0.2,0.2
2028,0.15,0.15,0.15
2029,0.1,0.1,0.1
2030,0.05,0.05,0.05
2031,0.0,0.0,0.0
2032,0.0,0.0,0.0
2033,0.0,0.0,0.0
2034,0.0,0.0,0.0
2035,0.0,0.0,0.0
