Year,Day_cab,Sleeper,Bus
2005,1000000.0,1000000.0,1000000.0
2006,1000000.0,1000000.0,1000000.0
2007,1000000.0,1000000.0,1000000.0
2008,1000000.0,1000000.0,1000000.0
2009,1000000.0,1000000.0,1000000.0
2010,1000000.0,1000000.0,1000000.0
2011,1000000.0,1000000.0,1000000.0
2012,1000000.0,1000000.0,1000000.0
2013,1000000.0,1000000.0,1000000.0
2014,1000000.0,1000000.0,1000000.0
2015,1000000.0,1000000.0,1000000.0
2016,1000000.0,1000000.0,1000000.0
2017,1000000.0,1000000.0,1000000.0
2018,1000000.0,1000000.0,1000000.0
2019,1000000.0,1000000.0,1000000.0
2020,536184.8906041996,949388.7976426383,324793.70622225
2021,513588.5995964302,907922.3328432653,310787.5481608698
2022,490992.3085886608,866455.8680438922,296781.3900994896
2023,468396.0175808914,824989.4032445191,282775.2320381094
2024,445799.72657312197,783522.9384451461,268769.0739767292
2025,423203.43556535256,742056.473645773,254762.91591534897
2026,400607.14455758315,700590.0088464,240756.75785396877
2027,378010.85354981374,659123.5440470269,226750.59979258856
2028,355414.5625420443,617657.0792476538,212744.44173120835
2029,332818.2715342749,576190.6144482808,198738.28366982815
2030,310221.9805265055,534724.1496489077,184732.12560844794
2031,291864.8346882328,496196.4722843521,178751.30735626066
2032,273507.6888499601,457668.7949197965,172770.48910407338
2033,255150.5430116874,419141.1175552409,166789.6708518861
2034,236793.3971734147,380613.44019068533,160808.85259969882
2035,218436.251335142,342085.76282612974,154828.03434751154
