Year,Day_cab,Sleeper,Bus
2005,1000000.0,1000000.0,1000000.0
2006,1000000.0,1000000.0,1000000.0
2007,1000000.0,1000000.0,1000000.0
2008,1000000.0,1000000.0,1000000.0
2009,1000000.0,1000000.0,1000000.0
2010,1000000.0,1000000.0,1000000.0
2011,1000000.0,1000000.0,1000000.0
2012,1000000.0,1000000.0,1000000.0
2013,1000000.0,1000000.0,1000000.0
2014,1000000.0,1000000.0,1000000.0
2015,1000000.0,1000000.0,1000000.0
2016,1000000.0,1000000.0,1000000.0
2017,1000000.0,1000000.0,1000000.0
2018,1000000.0,1000000.0,1000000.0
2019,1000000.0,1000000.0,1000000.0
2020,536184.8906041996,949388.7976426383,324793.70622225
2021,500966.5497598115,878061.2598845516,301499.3849322422
2022,465748.20891542337,806733.7221264649,278205.0636422344
2023,430529.86807103525,735406.1843683782,254910.74235222663
2024,395311.52722664713,664078.6466102916,231616.42106221884
2025,360093.186382259,592751.1088522049,208322.09977221105
2026,324874.8455378709,521423.5710941182,185027.77848220326
2027,289656.50469348277,450096.0333360315,161733.45719219546
2028,254438.16384909462,378768.4955779448,138439.13590218767
2029,219219.82300470647,307440.9578198581,115144.81461217988
2030,184001.48216031832,236113.42006177144,91850.49332217209
2031,178939.96371668266,227860.66708123876,88051.12751784583
2032,173878.445273047,219607.91410070608,84251.76171351958
2033,168816.92682941133,211355.1611201734,80452.39590919332
2034,163755.40838577566,203102.40813964073,76653.03010486707
2035,158693.88994214,194849.65515910805,72853.66430054081
