Year,Day_cab,Sleeper,Bus
2005,122338.01592068397,143547.94883626094,120303.42625468114
2006,122338.01592068397,143547.94883626094,120303.42625468114
2007,122338.01592068397,143547.94883626094,120303.42625468114
2008,122338.01592068397,143547.94883626094,120303.42625468114
2009,122338.01592068397,143547.94883626094,120303.42625468114
2010,122338.01592068397,143547.94883626094,120303.42625468114
2011,122338.01592068397,143547.94883626094,120303.42625468114
2012,122338.01592068397,143547.94883626094,120303.42625468114
2013,122338.01592068397,143547.94883626094,120303.42625468114
2014,122338.01592068397,143547.94883626094,120303.42625468114
2015,122338.01592068397,143547.94883626094,120303.42625468114
2016,122338.01592068397,143547.94883626094,120303.42625468114
2017,122338.01592068397,143547.94883626094,120303.42625468114
2018,122338.01592068397,143547.94883626094,120303.42625468114
2019,122338.01592068397,143547.94883626094,120303.42625468114
2020,122338.01592068397,143547.94883626094,120303.42625468114
2021,123442.84410101174,144551.74297827936,121257.49876575648
2022,124547.6722813395,145555.53712029778,122211.57127683182
2023,125652.50046166727,146559.3312623162,123165.64378790716
2024,126757.32864199503,147563.12540433463,124119.7162989825
2025,127862.1568223228,148566.91954635305,125073.78881005784
2026,128966.98500265056,149570.71368837147,126027.86132113318
2027,130071.81318297832,150574.5078303899,126981.93383220852
2028,131176.6413633061,151578.3019724083,127936.00634328387
2029,132281.46954363387,152582.09611442673,128890.0788543592
2030,133386.29772396164,153585.89025644516,129844.15136543455
2031,134491.12590428942,154589.68439846358,130798.22387650989
2032,135595.9540846172,155593.478540482,131752.29638758523
2033,136700.78226494498,156597.27268250042,132706.36889866058
2034,137805.61044527276,157601.06682451884,133660.44140973594
2035,138910.43862560054,158604.86096653726,134614.5139208113
