Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Segment,,Day_cab,Sleeper,Bus,,,,,,,,,,,,
Sale,,90600,57600,6000,,,,,,,,,,,,
Avg_VMT,,57328.84944629413,87254.0040112964,38786.12176500389,,,,,,,,,,,,
VMT_std,,36267.68998735424,32832.2733240829,10801.611455597653,,,,,,,,,,,,
maintainence,,11354.774471870787,21005.073827764416,11354.774471870787,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BEV_MPG,2020,11.901953294377487,11.589400574871437,18.785365271903114,,Low tech,,,high tech,,,BEV_consumption,2020,0.08401982223139814,0.08628573958934828,0.05323292816114039
,2030,13.766043227880452,13.349783635598081,21.68375288692602,,13.766043227880452,13.349783635598081,,16.660225224703293,16.07172137900574,,,2030,0.07264251487854505,0.07490758107370624,0.04611747815125393
,,,,,,,,,,,,,increment,-0.0011377307352853096,-0.0011378158515642043,-0.0007115450009886462
,,,,,,,,,,,,,,,,
DV_MPG,2020,6.141814345053623,6.6620598318259745,7.07864610628773,,Low tech,,,high tech,,,DV_consumption,2020,0.16281833735423162,0.1501037254608256,0.14126995261307565
,2030,7.314586762738904,7.894142925178027,8.408175033565714,,7.314586762738904,7.894142925178027,,8.592346423650296,9.154178339104748,,,2030,0.13671312302891542,0.126676196450731,0.11893187237515475
,,,,,,,,,,,,,increment,-0.0026105214325316205,-0.0023427529010094593,-0.00223380802379209
,,,,,,,,,,,,,,,,
BEV_price,2020,536184.8906041996,949388.7976426383,324793.70622225,,Low tech,,,high tech,,,,,,,
,2030,310221.9805265054,534724.1496489072,184732.12560844785,,310221.9805265054,534724.1496489072,,184001.48216031818,288225.3579632254,,,,,,
,increment,-22596.29100776942,-41466.464799373105,-14006.158061380216,,,,,,,,,,,,
,0.5diff,91785.7291913635,192638.38682277803,29904.09126093643,,,,,,,,,,,,
,2035,218436.2513351419,342085.7628261292,154828.03434751142,,,,,,,,,,,,
,increment,-18357.1458382727,-38527.67736455561,-5980.818252187286,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
captial,2020,2.399688578,8.345092933,0.765521723,incremental,-0.25931486880000004,-0.9017864646,-0.0827237196,,,,,,,,
,2025,1.103114234,3.83616061,0.351903125,,-0.054783542,-0.1905137828,-0.017476430799999998,,,,,,,,
,2030,0.829196524,2.883591696,0.264520971,,-0.02218366679999999,-0.07714532799999993,-0.007076784599999997,,,,,,,,
,2035,0.71827819,2.497865056,0.229137048,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DV_price,2020,122338.01592068397,143547.94883626094,120303.42625468114,,Low tech,,,high tech,,,,,,,
,2030,126650.52214377839,149447.37600335115,124923.94308657499,,126650.52214377839,149447.37600335115,,133386.29772396167,153585.89025644513,,,,,,
,increment,431.25062230944167,589.9427167090209,462.05168318938524,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
carbon intensity,diesel,electricity,,,,,,,,,,,,,,
,kg/DGE,kg/kWh,,,,,,,,,,,,,,
2020,10.16,0.417,,,,,,,,,,,,,,
2050,10.16,0,,,,,,,,,,,,,,
increment,0,-0.0139,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BEV_charging_power,2020,350,350,150,,,,,,,,,,,,
,2035,1000,1000,350,,,,,,,,,,,,
,increment,43.333333333333336,43.333333333333336,13.333333333333334,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BEV_queue_time,2020,0.5,0.5,1,,,,,,,,,,,,
,2035,0.1,0.1,0.5,,,,,,,,,,,,
,increment,-0.02666666666666667,-0.02666666666666667,-0.03333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BEV_range,2020,400,800,100,,,,,,,,,,,,
,2035,400,800,100,,,,,,,,,,,,
,increment,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
idling fuel consumption,,Day_cab,Sleeper,Bus,,,,,,,,,,,,
DGE/hour,2020,1,1,1,,,,,,,,,,,,
,2030,1,1,1,,,,,,,,,,,,
,,0,0,0,,,,,,,,,,,,
